Glamorgan first innings forfeited and 273-5 ( H. Morris	S-ORG O O O O O O B-PER E-PER
" Eleven thousand Serbs who came from elsewhere to Doboj will vote there .	O O O S-MISC O O O O O S-LOC O O O O
Smyth ( Ireland ) 66 69 , David Carter 66 69 , Steve Webster	S-PER O S-LOC O O O O B-PER E-PER O O O B-PER E-PER
Cheung Siu Man , 40 , was arrested late on Wednesday after police searched a house and found heroin in bags and hidden in hollow spaces in wooden planks , police said .	B-PER I-PER E-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
In the night 's only other match , Hamburg beat Hansa Rostock 1-0 , Karsten Baeron scoring the winner after some dazzling build-up from in-form midfielder Harald Spoerl .	O O O O O O O O S-ORG O B-ORG E-ORG O O B-PER E-PER O O O O O O O O O O B-PER E-PER O
-- U.S. Municipal Desk , 212-859-1650	O B-ORG I-ORG E-ORG O O
Hamburg 3 2 0 1 7 3 6	S-ORG O O O O O O O
62 Paul Broadhurst	O B-PER E-PER
The talks between Maskhadov and Russia 's Vyacheslav Tikhomirov are aimed at putting the finishing touches to a ceasefire sealed last week in talks with Russian security chief Alexander Lebed .	O O O S-PER O S-LOC O B-PER E-PER O O O O O O O O O O O O O O O O S-MISC O O B-PER E-PER O
" This is an individual case and I do n't have any evidence linking the suspects to any other cases , " Laasonen said .	O O O O O O O O O O O O O O O O O O O O O O S-PER O O
Illawarra 21 8 0 13 395 432 16	S-ORG O O O O O O O
The chairman of British-based components and engineering group T&N Plc said on Thursday the firm remained confident about the general prospects for its operating margins despite pressure from unsettled markets .	O O O S-MISC O O O O B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O
Both state agency bonds will have seven-year maturity and will be issued on September 5 , he said .	O O O O O O O O O O O O O O O O O O O
Played on Tuesday :	O O O O
GERMAN GOVT BOND ( SEP ) 97.42 97.38 97.34	S-MISC O O O O O O O O
AMSTERDAM 1996-08-25	S-LOC O
He was operated on earlier in the week but failed to recover from surgery .	O O O O O O O O O O O O O O O
East Stirling 0 Albion 1	B-ORG E-ORG O S-ORG O
Women who get measles while pregnant may have babies at higher risk of Crohn 's disease , a debilitating bowel disorder , researchers said on Friday .	O O O O O O O O O O O O O S-PER O O O O O O O O O O O O O
In Toronto , Pat Hentgen tossed a five-hitter for his fifth consecutive complete game and three players drove in two runs apiece as the Toronto Blue Jays defeated the Minnesota Twins 6-1 for their ninth win in 11 games .	O S-LOC O B-PER E-PER O O O O O O O O O O O O O O O O O O O B-ORG I-ORG E-ORG O O B-ORG E-ORG O O O O O O O O O
7. Takeishi 38:34.999	O S-PER O
All passengers freed from Sudanese hijack plane .	O O O O S-MISC O O O
Baseball games played on Sunday ( home team in CAPS ) :	O O O O O O O O O O O O
Hekmatyar , once Rabbani 's main rival , made a peace pact with him and rejoined the government as prime minister in June .	S-PER O O S-PER O O O O O O O O O O O O O O O O O O O O
9. Lance Armstrong ( U.S. ) Motorola 9	O B-PER E-PER O S-LOC O S-ORG O
Women 's 400 metres hurdles :	O O O O O O
Three members of the party were rescued unhurt .	O O O O O O O O O
LONDON 1996-08-27	S-LOC O
Roe said he was sticking by his forecast of a 2.45 billion guilder net for 1996 .	S-PER O O O O O O O O O O O O O O O O
Indonesian rupiah stable in quiet late trading .	S-MISC O O O O O O O
THU M&R YR DIV 31.7 10.5-42.3 47.0	O S-ORG O O O O O
Ka Wah Bank 's HK$ 43 million floating rate certificate of deposit issue has been privately placed , sole arranger HSBC Markets said .	B-ORG I-ORG E-ORG O S-MISC O O O O O O O O O O O O O O O B-ORG E-ORG O O
WASHINGTON 1996-08-23	S-LOC O
( Spain ) , Paul Broadhurst , Greg Turner ( New Zealand ) , Mike	O S-LOC O O B-PER E-PER O B-PER E-PER O B-LOC E-LOC O O S-PER
" We are certainly serious more than before to find a solution to the Afghan problem and support every U.N. plan , " Amrollah quoted Rohrabacher as saying .	O O O O O O O O O O O O O O S-MISC O O O O S-ORG O O O S-PER O S-PER O O O
She said her divine call to work among the poor came in September , 1946 . "	O O O O O O O O O O O O O O O O O
Nomura officials were not immediately available for comment .	S-ORG O O O O O O O O
- Top dealers in the London office of U.S. bankers Merrill Lynch are transferring to Dublin .	O O O O O S-LOC O O S-LOC O B-ORG E-ORG O O O S-LOC O
" We have found dead people , " said Rune Hansen , the island 's deputy governor , told Norwegian television .	O O O O O O O O O B-PER E-PER O O O O O O O O S-MISC O O
January-June revenues went up to 8.26 trillion lei from 6.96 trillion lei in the first five months this year .	O O O O O O O O O O O O O O O O O O O O
No closures of airports in the Commonwealth of Independent States are expected on August 24 and August 25 , the Russian Weather Service said on Friday .	O O O O O O B-LOC I-LOC I-LOC E-LOC O O O O O O O O O O B-ORG I-ORG E-ORG O O O O
W L PCT GB	O O O O
Women 's singles , first round 1 - Steffi Graf ( Germany ) beat Yayuk Basuki ( Indonesia ) 6-3 7-6 ( 7-4 )	O O O O O O O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O O
Guinea calls two days of prayer .	S-LOC O O O O O O
- International Fair opens in the northern city of Beja with the participation of 16 foreign countries .	O B-MISC E-MISC O O O O O O S-LOC O O O O O O O O
Willem II Tilburg 1 ( Van Hintum 69th penalty ) RKC Waalijk 2	B-ORG I-ORG E-ORG O O B-PER E-PER O O O B-ORG E-ORG O
In this model , individual computer users can always gain access to the latest programmes and do not need to store more software than they are currently using on their computers at any one time , also saving costs of memory and storage .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The decisive pitch nearly hit Ripken and gave the Orioles a one-half game lead over the Chicago White Sox in the wild-card race .	O O O O O S-PER O O O S-ORG O O O O O O B-ORG I-ORG E-ORG O O O O O
Underwriters over-allotment 375,000 shrs Shares to be purchased by Hoechst Marion Roussel Inc 357,143 Business : developed two proprietary technology platforms , gene activation and gene therapy .	O O O O O O O O O B-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O O O O O
The Himalayan kingdom , sandwiched between China and India , has traditionally sought to maintain close cooperation with its giant neighbours , and an equal distance from the two .	O S-MISC O O O O S-LOC O S-LOC O O O O O O O O O O O O O O O O O O O O O
Ronald de Boer and Dennis Bergkamp are the likely contenders to lead the team .	B-PER I-PER E-PER O B-PER E-PER O O O O O O O O O
MONTPELIER , Vt .	S-LOC O S-LOC O
EASTERN DIVISION	B-MISC E-MISC
The cause of the sinking was not known but officials said the boat had a hole in the stern and no lifejackets .	O O O O O O O O O O O O O O O O O O O O O O O
Tin ( Grade A ) 6.5-8.5 cents / pound	O O O O O O O O O
Richard Lamm has decided not to endorse Ross Perot as the presidential candidate of the Reform Party , CNN reported late Tuesday .	B-PER E-PER O O O O O B-PER E-PER O O O O O O B-ORG E-ORG O S-ORG O O O O
Aluminum scrap , Midwest and East coast average price ,	O O O S-LOC O B-LOC E-LOC O O O
In Pittsburgh , Al Martin 's run-scoring single snapped a fifth-inning tie and Denny Neagle outdueled John Smoltz as the Pittsburgh Pirates edged the Atlanta Braves 3-2 .	O S-LOC O B-PER E-PER O O O O O O O O B-PER E-PER O B-PER E-PER O O B-ORG E-ORG O O B-ORG E-ORG O O
G. Thorpe lbw b Mohammad Akram 54	B-PER E-PER O O B-PER E-PER O
The Redmond , Wash.-based company spent tens of millions of dollars promoting the product with stunts that included buying the entire print run of the Times of London and lighting New York 's Empire State building in a Windows color scheme .	O S-PER O S-MISC O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG E-ORG O O B-LOC E-LOC O B-LOC E-LOC O O O S-MISC O O O
Dutch police are also holding a 74-year old Dutchman in connection with the disappearance of An and Eefje , although a spokesman said no direct link had yet been established .	S-MISC O O O O O O O S-MISC O O O O O O S-PER O S-PER O O O O O O O O O O O O O
3. Jarmo Kytolehto ( Finland ) Ford Escort 2:37	O B-PER E-PER O S-LOC O B-MISC E-MISC O
MONTREAL 67 58 .536 12	S-ORG O O O O
Lisa Raymond ( U.S. ) beat Lori McNeil ( U.S. ) 7-6 ( 8-6 ) 6-3	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O O
It was not clear if they were the same five spy rings , allegedly led by Turkish diplomats , that Iran said in April it had broken up in the same area , which borders Turkey .	O O O O O O O O O O O O O O O O S-MISC O O O S-LOC O O O O O O O O O O O O O O S-LOC O
New Zealand beat South Africa 33-26 ( halftime 21-11 ) in the second test on Saturday .	B-LOC E-LOC O B-LOC E-LOC O O O O O O O O O O O O
Athens and Tirana signed an accord in May to legalise the status of Albanian immigrant workers , estimated at 350,000 , and remove a long-standing stumbling block in relations between the two Balkan neighbours .	S-LOC O S-LOC O O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O S-LOC O O
out , W. Khan 52 ; R. Illingworth 4-54 , S. Lampitt 4-90 ) .	O O B-PER E-PER O O B-PER E-PER O O B-PER E-PER O O O
6. Federico Colonna ( Italy ) Mapei 27	O B-PER E-PER O S-LOC O S-ORG O
( 0-0 )	O O O
It quoted the lawyer of Gianfranco Stevanin as saying the 35-year-old farmer confessed on Friday to a Verona magistrate that he had killed and mutilated the women .	O O O O O B-PER E-PER O O O O O O O O O O S-LOC O O O O O O O O O O
CHICAGO 1996-08-27	S-LOC O
The company 's PMC-Sierra unit generated $ 33 million of the company 's $ 117 million in sales in the first half of the year , compared with $ 45 million in sales of modem chips , Kan said .	O O O S-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O
Russian President Boris Yeltsin 's security supremo Alexander Lebed and Chechen rebel chief-of-staff Aslan Maskhadov signed a deal on Thursday aimed at ending three weeks of renewed fighting in the region .	S-MISC O B-PER E-PER O O O B-PER E-PER O S-MISC O O B-PER E-PER O O O O O O O O O O O O O O O O O
NOTE - Tokyo Soir Co Ltd is a specialised manufacturer of women " s formal wear .	O O B-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O
Since the project began almost two years ago , corps volunteers have focused on African American troops , preparing records in time for the unveiling in Washington this year of a special memorial to black soldiers who fought in the war .	O O O O O O O O O O O O O O B-MISC E-MISC O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O
Finns hold two men on child sex-abuse charges .	S-MISC O O O O O O O O
CALIFORNIA AT BALTIMORE	S-ORG O S-LOC
Shr C$ 0.04 C$ 0.08	O S-MISC O S-MISC O
AMSTERDAM 1996-08-28	S-LOC O
- The surprise ...	O O O O
OAKLAND 62 70 .470 13	S-ORG O O O O
Castleford 22 9 0 13 548 599 18	S-ORG O O O O O O O
Marcos Ondruska ( South Africa ) vs. Felix Mantilla ( Spain )	B-PER E-PER O B-LOC E-LOC O O B-PER E-PER O S-LOC O
CALL C 98.00 PCT 0.47 DEM 3.30 PCT 202.90 X	O O O O O S-MISC O O O O
Emnid May 26 40.0 31.0 6.0 13.0 6.0	S-ORG O O O O O O O
They told reporters a group of Kurdistan Workers Party ( PKK ) guerrillas stopped the buses at a roadblock on the road linking the eastern provinces of Erzincan and Sivas on Monday night and forced the passengers to get out .	O O O O O O B-ORG I-ORG E-ORG O S-ORG O O O O O O O O O O O O O O O O S-LOC O S-LOC O O O O O O O O O O O
64 David J. Russell , Michael Campbell ( New Zealand ) , Ian	O B-PER I-PER E-PER O B-PER E-PER O B-LOC E-LOC O O S-PER
Republic ) 7-5 6-3	S-LOC O O O
4. Heiko Szonn ( Germany ) 4:21.009	O B-PER E-PER O S-LOC O O
BASEBALL - MAJOR LEAGUE RESULTS MONDAY .	O O B-MISC E-MISC O O O
Clinton wins Democratic re-nomination .	S-PER O S-MISC O O
But Lebed himself , the Kremlin security chief , is still waiting back in Moscow to meet Yeltsin over his plans for a lasting political settlement in Chechnya .	O S-PER O O O S-LOC O O O O O O O O S-LOC O O S-PER O O O O O O O O O S-LOC O
CINCINNATI AT COLORADO	S-ORG O S-LOC
VALLETTA 1996-08-23	S-LOC O
India blocked the Comprehensive Test Ban Treaty ( CTBT ) at the Conference on Disarmament in Geneva , saying the pact did not contain a clause committing the five declared nuclear powers to a timetable for nuclear disarmament .	S-LOC O O B-MISC I-MISC I-MISC E-MISC O S-MISC O O O B-MISC I-MISC E-MISC O S-LOC O O O O O O O O O O O O O O O O O O O O O O
Other issues affecting ties include plans by an Australian cabinet minister to visit Taiwan , a security pact between Canberra and Washington and a possible visit to Australia next month by Tibet 's exiled spiritual leader the Dalai Lama .	O O O O O O O O S-MISC O O O O S-LOC O O O O O S-LOC O S-LOC O O O O O S-LOC O O O S-LOC O O O O O B-PER E-PER O
CHICAGO AT HOUSTON	S-ORG O S-LOC
Attorney General Janet Reno 's report -- all nine pages of it , including footnotes -- offers only the interim services of the FBI until a formal registry on sex offenders has been established .	O O B-PER E-PER O O O O O O O O O O O O O O O O O O O S-ORG O O O O O O O O O O O
Juventus have won the European Cup twice .	S-ORG O O O B-MISC E-MISC O O
+3 Tom Lehman through 11	O B-PER E-PER O O
-- Seaford Union Free School District , N.Y. , $ 5 million school bonds .	O B-LOC E-LOC O O O O S-LOC O O O O O O O
EASTERN DIVISION	B-MISC E-MISC
DUTCH CAPTAIN BLIND ENDS INTERNATIONAL CAREER .	S-MISC O S-PER O O O O
NEW YORK 1996-08-25	B-LOC E-LOC O
Bossi has intensified his separatist rhetoric since his Northern League party 's good showing in last April 's general election , when it took 10 percent of the vote nationally .	S-PER O O O O O O O B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O
American League	B-MISC E-MISC
NEW YORK 1996-08-28	B-LOC E-LOC O
CHICAGO 2 Milwaukee 0	S-ORG O S-ORG O
6. David Coulthard ( Britain ) 18	O B-PER E-PER O S-LOC O O
Oxford 3 1 0 2 6 3 3	S-ORG O O O O O O O
ATHLETICS - CHRISTIE AND JOHNSON ASKED TO JOIN OWENS ' TRIBUTE .	O O S-PER O S-PER O O O S-PER O O O
NEW YORK 1996-08-23	B-LOC E-LOC O
Earlier , the director of the president 's office denied a report in Israel 's Yedioth Ahronoth newspaper that Weizman had already invited Arafat to his private home for talks in the coming week on the future of the Israel-PLO peace process .	O O O O O O O O O O O O O S-LOC O B-ORG E-ORG O O S-PER O O O S-PER O O O O O O O O O O O O O O O S-MISC O O O
Bayern Munich 4 3 1 0 11 4 10	B-ORG E-ORG O O O O O O O
Prykarpattya 6 0 2 4 4 13 2	S-ORG O O O O O O O
The Bank of Finland earlier estimated the April trade surplus at 3.2 billion markka with exports projected at 14.5 billion and imports at 11.3 billion .	O B-ORG I-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O
" We want to pop some air out of this balloon of tension that has been blown up around September 15 , " Cimicchi said .	O O O O O O O O O O O O O O O O O O O O O O O S-PER O O
The lanky Canadian broke Muster at 4-3 in the first set and 5-5 in the second before ending the match on his third match point when the Austrian hit a service return long .	O O S-MISC O S-PER O O O O O O O O O O O O O O O O O O O O O O S-MISC O O O O O O
" We want to help turn down the rhetoric in a country that borders former Yugoslavia yet in which people are still talking about secession , " he added .	O O O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O
Jos Verstappen ( Netherlands ) 1	B-PER E-PER O S-LOC O O
With her husband James sitting in a wheelchair to the side of the podium , Mrs. Brady called the handgun control bill that a Democratic Congress passed and Clinton signed in 1994 a major step in controlling firearm violence in the United States .	O O O S-PER O O O O O O O O O O O O S-PER O O O O O O O S-MISC S-ORG O O S-PER O O O O O O O O O O O O B-LOC E-LOC O
" Commander Nuour Marial is a soldier so he must accept the leadership 's decision .	O O B-PER E-PER O O O O O O O O O O O O
They were confident of further eurokiwi issuance but said the timing was less of a certainty .	O O O O O O O O O O O O O O O O O
Peru 's guerrillas kill one , take 8 hostage in jungle .	S-LOC O O O O O O O O O O O
But I 'm still competing well . "	O O O O O O O O
At Chester-le-Street : Glamorgan 73-3 v Durham .	O S-LOC O S-ORG O O S-ORG O
SPA-FRANCOCHAMPS 1996-08-25	S-LOC O
BASEBALL - MAJOR LEAGUE RESULTS WEDNESDAY .	O O B-MISC E-MISC O O O
Australia , led by wicketkeeper Ian Healy , opened their short tour of Sri Lanka with a five-run win over the country 's youth team on Thursday .	S-LOC O O O O B-PER E-PER O O O O O O B-LOC E-LOC O O O O O O O O O O O O O
" A U.S. F-14 military plane while landing at Ben Gurion airport blew a wheel and a fire broke out , " said spokesman Yehiel Amitai , adding that the two pilots on board were not injured .	O O S-LOC S-MISC O O O O O B-LOC E-LOC O O O O O O O O O O O O O B-PER E-PER O O O O O O O O O O O O
Stromsgodset 20 7 4 9 27 40 25	S-ORG O O O O O O O
( Finland ) Gulf McLaren FI GTR 171 laps - 6 hours 18 minutes	O S-LOC O B-MISC I-MISC I-MISC E-MISC O O O O O O O
Lebed himself said he was concerned that powerful interests in Moscow , who have profited from the war and want it to go on , would seize on any inadequacy in the deal to remove him .	S-PER O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O
- Cabinet meeting establishes five new administrative regions and four new departments as part of government decentralisation policy .	O O O O O O O O O O O O O O O O O O O
2. Jacques Villeneuve ( Canada ) 68	O B-PER E-PER O S-LOC O O
Many had taken part in the genocide that year of one million people , mostly Tutsis , and refuse to go home for fear of reprisal at the hands of the new Tutsi-dominated government in Kigali .	O O O O O O O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O S-MISC O O S-LOC O
Net profit 6.08 vs 3.98	O O O O O
- Pakistan bought 31,412 tonnes of PL-480 No.2 yellow soybeans from Cargill Inc for $ 303.19 per tonne , FOB U.S. Gulf , agents for the buyer said .	O S-LOC O O O O O O O O O B-ORG E-ORG O O O O O O O B-LOC E-LOC O O O O O O O
St Helens have now set their sights on taking the treble by winning the end-of-season premiership which begins with next Sunday 's semifinal against London .	B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O S-ORG O
TVX and Kinross rose after recent buy recommendations from U.S. brokers , analysts said .	S-ORG O S-ORG O O O O O O S-LOC O O O O O
SOCCER - GERMAN FIRST DIVISION SUMMARIES .	O O S-MISC O O O O
SV Salzburg 5 3 2 0 4 1 11	B-ORG E-ORG O O O O O O O
They could not agree , so asked her to stay on .	O O O O O O O O O O O O
Promodes set to sell German assets - paper .	S-ORG O O O S-MISC O O O O
Standings after games played on Sunday ( tabulate under won ,	O O O O O O O O O O O
Zirka-Nibas 6 3 1 2 6 8 10	S-ORG O O O O O O O
Maturity Balance Coupon List	O O O O
.	O
Deby took power in an armed uprising in 1990 .	S-PER O O O O O O O O O
JERUSALEM 1996-08-28	S-LOC O
-- Paris Newsroom +33 1 42 21 53 81	O B-ORG E-ORG O O O O O O
Banisadr lives under round-the-clock security in France , fearing Tehran could make an attempt on his life .	S-PER O O O O O S-LOC O O S-LOC O O O O O O O O
CENTRAL DIVISION	B-MISC E-MISC
Lada Togliatti 1 Spartak Moscow 1	B-ORG E-ORG O B-ORG E-ORG O
They were due to leave Spain Monday night , arrive in Sao Paulo on Tuesday morning , catch another plane to the southern city of Curitiba one hour later and then play away to Atletico Paranaense in the Brazilian championship the same evening .	O O O O O S-LOC O O O O O B-LOC E-LOC O O O O O O O O O O O O S-LOC O O O O O O O O B-ORG E-ORG O O S-MISC O O O O O
Some analysts say the Kremlin leader , whose order sending troops and tanks into Chechnya in 1994 started Russia 's ill-fated military campaign , could merely be reluctant to put his name to a peace process which might fall apart .	O O O O S-LOC O O O O O O O O O S-LOC O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O
U.S. surgeon investigated for discarding foot .	S-LOC O O O O O O
Record Oct 1	O O O
The winner has to secure a majority from the college within two rounds of voting otherwise the election will go back before the parliament .	O O O O O O O O O O O O O O O O O O O O O O O O O
Rating Announcement As of 08/26/96 .	O O O O O O
Heavy drinkers in a Nicaraguan city were searching for someone who has covered them in " lovebites " while they were passed out in a drunken stupor , a local newspaper reported on Tuesday .	O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
YORK , England 1996-08-22	S-LOC O S-LOC O
Nyva Vinnytsya 5 0 2 3 1 7 2	B-ORG E-ORG O O O O O O O
BOSTON 66 65 .504 9	S-ORG O O O O
Chernomorets Novorossiisk 2 Rostselmash Rostov 1	B-ORG E-ORG O B-ORG E-ORG O
Sheffield United 4 Birmingham 4	B-ORG E-ORG O S-ORG O
From central Texas north to Kansas , rains throughout July and August have relieved most of the drought conditions that plagued the region earlier this year .	O O S-LOC O O S-LOC O O O O O O O O O O O O O O O O O O O O O
TOMORROW ...	O O
Pakistan win series 2-0	S-LOC O O O
" We have ordered a massive hunt for him and I am quite confident we will get him soon , " Vivit Chatuparisut , deputy director general of the Correction Department , told Reuters .	O O O O O O O O O O O O O O O O O O O O O B-PER E-PER O O O O O O B-ORG E-ORG O O S-ORG O
In Dole 's address to a group that was largely white , the presidential nominee likened the stream of illegal drugs into the United States to missiles aimed at American children and promised to appoint federal judges who would be tough on illegal drug use .	O S-PER O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O O O O S-MISC O O O O O O O O O O O O O O O O
8. Bart Voskamp ( Netherlands ) TVM 53	O B-PER E-PER O S-LOC O S-ORG O
BUDAPEST 1996-08-21	S-LOC O
Halftime 0-0 .	O O O
English County Championship cricket matches on Thursday :	S-MISC B-MISC E-MISC O O O O O
CRICKET - RUN-OUT GIVES LEWIS AND ENGLAND SLIM SATISFACTION .	O O O O S-PER O S-LOC O O O
BALTIMORE 12 Oakland 11 ( 10 innings )	S-ORG O S-ORG O O O O O
" I lost the moment , " lamented Basuki , who has reached the fourth round at Wimbledon four times and was a semifinalist in Montreal earlier this month .	O O O O O O O O S-PER O O O O O O O O S-LOC O O O O O O O S-LOC O O O O
GACETA DE LOS NEGOCIOS	B-ORG I-ORG I-ORG E-ORG
According to best-selling daily Gazeta Wyborcza , Rosati told the Polish parliament 's foreign affairs committee on Tuesday that the fact Lebed had been charged with resolving the conflict in Chechnya showed he would be marginalised .	O O O O B-ORG E-ORG O S-PER O O S-MISC O O O O O O O O O O S-PER O O O O O O O O S-LOC O O O O O O
H1 1996 H1 1995	O O O O
PHILADELPHIA 53 78 .405 29	S-ORG O O O O
Last season 's league and Cup winners Manchester United host 1995 champions Blackburn on Sunday .	O O O O O S-MISC O B-ORG E-ORG O O O S-ORG O O O
The decline is all the worse for people who recall wasteful Soviet times , when the Kremlin imported grain but priced bread so cheaply that people bought it to feed their pigs .	O O O O O O O O O O O S-MISC O O O O S-LOC O O O O O O O O O O O O O O O O
DINAMINA	S-ORG
" ...For the sake of safety we are asking for their family members or the authorities to come and pick them up , " Kurdistan Workers Party ( PKK ) central committee member Riza Altun told journalists near the Iraqi city of Dohuk .	O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG E-ORG O S-ORG O O O O B-PER E-PER O O O O S-MISC O O S-LOC O
Tulio , who has been top-scorer in the competition for the last two seasons , has been struggling against injury for most of this year .	S-PER O O O O O O O O O O O O O O O O O O O O O O O O O
" I was very nervous before the start but then I was amazed by the speed of my ride , " Boardman said . "	O O O O O O O O O O O O O O O O O O O O O S-PER O O O
F.C. Arges Dacia Pitesti 4 1 2 1 4 2 5	B-ORG I-ORG I-ORG E-ORG O O O O O O O
Fuel costs ( Dm million ) 69 up 20 pct	O O O S-MISC O O O O O O
I have stayed out of the way and let them get on with the job .	O O O O O O O O O O O O O O O O
" It might be sooner than you think , " he told reporters after briefing the Security Council on arrangements for monitors needed to carry out the agreement .	O O O O O O O O O O O O O O O O B-ORG E-ORG O O O O O O O O O O O
LONDON 1996-08-25	S-LOC O
Santos suffered more from their loss as Narciso 's replacement Jean gave away a penalty from which Sao Paulo scored the decisive goal in a 2-1 win .	S-ORG O O O O O O S-PER O O S-PER O O O O O O B-ORG E-ORG O O O O O O O O O
No further details were immediately available .	O O O O O O O
To get those results , 27 percent of the companies surveyed plan to eliminate base pay increases in favour of cash bonuses and incentives , such as employee and team award programmes and education .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
When ( halfback ) Justin Marshall got the ball he was going to go on the openside where Jon Preston was so I emptied my lung at him to get the ball this way .	O O O O B-PER E-PER O O O O O O O O O O O O B-PER E-PER O O O O O O O O O O O O O O O
The Sri Lankans were first found guilty then cleared of ball tampering and off-spinner Muttiah Muralitharan was called for throwing during a controversial three-test series in Australia .	O B-MISC E-MISC O O O O O O O O O O O B-PER E-PER O O O O O O O O O O S-LOC O
MSV Duisburg 2 0 0 2 1 4 0	B-ORG E-ORG O O O O O O O
Soyoil refined fell by 200 rupees on weak undertone .	O O O O O O O O O O
The quartet , who possess 244 international caps between them , were also omitted from a summer training camp but will still be in contention when the northern international season starts later this year .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
" It is not a dangerous level to own vol. You are not going to lose a lot and you could make quite a bit . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O
65 Eamonn Darcy ( Ireland ) , Per Nyman ( Sweden ) , Russell Claydon ,	O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O B-PER E-PER O
In his autobiography published in 1990 , Lanusse described himself as a military man with " democratic ideas . "	O O O O O O O S-PER O O O O O O O O O O O O
Chelsea 3 2 1 0 3 0 7	S-ORG O O O O O O O
1. Museeuw 162 points	O S-PER O O
In one letter , a black soldier heading South wrote his wife , " though great is the present national difficulties yet I look forward to a brighter day when I shall have the oportunity of seeing you in the full enjoyment of freedom .	O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
10-0-52-0 , Irani 10-0-56-1 , Croft 10-1-36-2 .	O O S-PER O O S-PER O O
These are the leading stories in the Beirut press on Thursday .	O O O O O O O S-LOC O O O O
Yorkshire 529-8 declared	S-ORG O O
tennis tournament on Thursday ( prefix number denotes seeding ) :	O O O O O O O O O O O
India 's Home ( interior ) Minister accused Pakistan on on Thursday of planning to disrupt state elections in troubled Jammu and Kashmir state .	S-LOC O O O O O O O S-LOC O O O O O O O O O O O S-LOC O S-LOC O O
Cooper	S-PER
